================================================
INDEX_0 IDEA REPOSITORY
================================================
================================================
IDEA REGISTRY
================================================

IDEA-001  Map System | multi scale simulation mapping | System | All Eras
IDEA-002  QuantCom Communication Network | interstellar quantum communication backbone | Infrastructure | Planetary Period
IDEA-003  QuantCom Bonding Maturation | stabilized long distance communication | Infrastructure | Planetary Period
IDEA-004  Planetary Population Control System | demographic regulation planetary infrastructure | Governance | GGO Hegemony

IDEA-005–009  — reserved —

IDEA-010  Mitchell Class Seaplane Tender | naval aviation support vessel | Vehicle | Postmodernist Period
IDEA-011  Hunter Class Frigate | multi role escort warship | Vehicle | Postmodernist Period
IDEA-012  Cyberpunk Car | dense megacity civilian transport | Vehicle | Postmodernist Period
IDEA-013  UH-63 Whitehawk Helicopter | military logistics rotorcraft platform | Vehicle | Postmodernist Period
IDEA-014  Barbento BR120 Aircraft | medium range passenger aircraft | Vehicle | Postmodernist Period
IDEA-015  7P2 Coil Energy Ship | orbital colony energy generator | Vehicle | Planetary Period
IDEA-016  Race for Sol Bulldozer | early planetary construction vehicle | Vehicle | Race for Sol

IDEA-017–019  — reserved —

IDEA-020  Foldable Cargo Container | collapsible standardized cargo container | Logistics | Race for Sol

IDEA-021–029  — reserved —

IDEA-030  Distributed Microfactory Production | decentralized modular industrial manufacturing | Production | Planetary Period
IDEA-031  Orbital Shipyard Assembly | large scale spacecraft construction | Production | Planetary Period
IDEA-032  Vertical Arcology Manufacturing | megastructure integrated industrial production | Production | Planetary Period

IDEA-033–049  — reserved —

IDEA-050  Sikorski Aircraft Corporation | aerospace manufacturing corporation entity | Organization | Postmodernist Period
IDEA-051  US Army | terrestrial military organization structure | Organization | Postmodernist Period

IDEA-052–164  — reserved —

IDEA-165  Terran Biome Diversity Project | interstellar planetary terraforming institution | Organization | Planetary Period

IDEA-166–170  — reserved —

IDEA-171  Container Retrieval Craft | orbital cargo recovery spacecraft | Technology | Race for Inter Sol
IDEA-172–173  — reserved —
IDEA-174  GGO Container Latch Standard | standardized cargo attachment interface | Technology | GGO Hegemony

IDEA-175–219  — reserved —

IDEA-220  CSG Experimental Civilizations | controlled planetary society experiments | Institution | Planetary Period
IDEA-221  Seeding Approach Papers | cultural seeding theoretical frameworks | Research | Planetary Period
IDEA-222  Pre Contact Culturals | isolated planetary cultural development | Civilization | Planetary Period
IDEA-223  Post Contact Culturals | contacted experimental planetary societies | Civilization | Planetary Period
IDEA-224  SAP Completion Conditions | civilization experiment termination criteria | Research | Planetary Period
IDEA-225  Persanul Corporate Interaction | corporation civilization contact event | Event | Planetary Period

IDEA-226  Rust Sector Oxidation Bands | industrial architecture identification bands | Culture | Trifecta Dominion
